sr. no.,heading,synopsis,link,section
24,"The Shift gets a release date and special screening, find out more about the movie","The Shift, a science fiction movie from Angel Studios will release across theaters in the coming month. The movie will also have a special screen. Read on to know more about the premiere of the movie",https://economictimes.indiatimes.com/news/politics//news/international/us/the-shift-gets-a-release-date-and-special-screening-find-out-more-about-the-movie/articleshow/105422082.cms,news
25,"Amid ongoing clashes in Myanmar; India issues travel advisory, asks its nationals to register at embassy in Yangon","""In view of the evolving security situation in Myanmar, all Indian nationals are advised to avoid non-essential travel,"" the Ministry of External Affairs said in a press release. ""Those already living in Myanmar are advised to take precaution and avoid travel to the regions affected by violence. Inter-state travel by road should also be avoided,"" the MEA release also said.",https://economictimes.indiatimes.com/news/politics//nri/latest-updates/amid-ongoing-clashes-in-myanmar-india-issues-travel-advisory-asks-its-nationals-to-register-at-embassy-in-yangon/articleshow/105405074.cms,nri
26,Tata Elxsi to develop automotive cyber security solutions with IISc,"Tata Elxsi, a design and technology service provider, has partnered with the Indian Institute of Science (IISc) to develop an Automotive Cyber Security Solution. The collaboration aims to address the cybersecurity challenges posed by complex in-vehicle networks and advancements in software.",https://economictimes.indiatimes.com/news/politics//tech/tech-bytes/tata-elxsi-to-develop-automotive-cyber-security-solutions-with-iisc/articleshow/104180160.cms,tech
27,World Cup 2023: New Super Over and extra time rules for India vs New Zealand match explained,"For the India vs New Zealand and South Africa vs Australia semi-final matches, the ICC has adjusted rules for the knockout stage, introducing a reserve day and extended extra time. The Super Over rule has also been tweaked to decide the semifinal outcome. In case of no Super Over due to weather disruptions or an abandoned match, the result relies on the league stage standings. India, with 18 points, leads the league stage, followed by South Africa, Australia, and New Zealand.",https://economictimes.indiatimes.com/news/politics//news/india/world-cup-2023-new-super-over-rule-for-india-vs-new-zealand-australia-vs-south-africa-semi-final-matches-explained/articleshow/105201219.cms,news
28,Congress government in Rajasthan played with future of youth by leaking recruitment exam papers: Rajnath Singh,"""The Ashok Gehlot government has not done anything for development and if he has done anything, it was to save the chair. Instead of doing development, they are fighting among themselves,"" he said.",https://economictimes.indiatimes.com/news/politics//news/elections/assembly-elections/rajasthan-assembly-elections/congress-government-in-rajasthan-played-with-future-of-youth-by-leaking-recruitment-exam-papers-rajnath-singh/articleshow/105418986.cms,news
29,Not much impact on margins after RBI hikes risk weight on unsecured lending: RBL Bank,"""Our capital (CET 1 ratio) cost will go by 60 bps because of the RBI action, but the impact on our margin will be negligible at 1-2 bps only,"" the bank's chief executive and managing director R Subramaniakumar told reporters on the sidelines of the IBA-Ficci-organised national banking summit here on Wednesday.",https://economictimes.indiatimes.com/news/politics//industry/banking/finance/banking/not-much-impact-on-margins-after-rbi-hikes-risk-weight-on-unsecured-lending-rbl-bank/articleshow/105423043.cms,industry
31,"RMZ rejigs top leadership team, targets $42 billion AUM by 2029","The firm has set up a new governance structure with two boards – the supervisory board led by brothers Raj Menda and Manoj Menda and the family’s second generation, Sidharth and Mihir, and an executive board comprising non-family senior leaders from diverse industry backgrounds overseeing each of the firm’s businesses.",https://economictimes.indiatimes.com/news/politics//industry/services/property-/-cstruction/rmz-rejig-top-leadership-team-targets-42-billion-aum-by-2029/articleshow/105421291.cms,industry
33,"PM Kisan 15th installment of Rs 18,000 crore released to more than 8 crore beneficiaries; How to check status online","​PM Kisan 15th installment: Eligible farmers will receive Rs 2,000 installment under the scheme, as the 15th instalment under the scheme on November 15, 2023, during PM Modi's Jharkhand visit.",https://economictimes.indiatimes.com/news/politics//wealth/save/pm-kisan-15th-installment-of-rs-18000-crore-released-to-more-than-8-crore-beneficiaries-how-to-check-status-online/articleshow/105211263.cms,wealth
34,The role of a Chief Technology Officer (CTO) in today's digital landscape,"This article explores the role of a Chief Technology Officer (CTO) in today's digital landscape. It highlights the responsibilities of a CTO, including technology strategy development, driving innovation, managing technology infrastructure, fostering collaboration, and talent management. This article also discusses the skills and qualifications required for a CTO, such as technical expertise, strategic vision, leadership, and business acumen. Additionally, it emphasises the impact a CTO can have on driving digital transformation, fostering innovation, and enhancing competitive advantage within an organisation.",https://economictimes.indiatimes.com/news/politics//jobs/c-suite/the-role-of-a-chief-technology-officer-cto-in-todays-digital-landscape/articleshow/100996331.cms,jobs
35,Indian startup funding at five-year low in Q3: Tracxn,"The report, dated Wednesday (September 27) further indicated a 33% reduction in late-stage funding rounds, and drastic declines of 74% and 75% in early-stage and seed-stage funding, respectively, compared with the same quarter a year earlier.",https://economictimes.indiatimes.com/news/politics//tech/technology/startup-funding-at-five-year-low-in-q3-says-tracxn/articleshow/104009218.cms,tech
36,This is how to increase EV uptake,"So far, consumer adoption of EVs in developing countries apart from India and China has been relatively slow. That is mainly because EVs are not as affordable, due to their upfront costs, insurance, repairs and battery replacement, along with charging costs.",https://economictimes.indiatimes.com/news/politics//industry/renewables/this-is-how-to-increase-ev-uptake/articleshow/105410347.cms,industry
37,"US yields slip, despite data, as market sees rate cuts next year","The yield on benchmark 10-year notes fell 3.9 basis points (bps) to 4.379%, after earlier sliding to 4.363%, a new two-month low. The two-year's yield, which reflects interest rate expectations, rose 0.2 bps to 4.885%.",https://economictimes.indiatimes.com/news/politics//markets/bonds/us-yields-slip-despite-data-as-market-sees-rate-cuts-next-year/articleshow/105423238.cms,markets
38,"Telangana: Muslim organisations back Congress, accuse BRS of “secretly colluding” with BJP","The development comes two days after Union Home Minister Amit Shah announced the BJP, if voted, will scrap the 4% Muslim quota and distribute it among SC/STs and OBCs.",https://economictimes.indiatimes.com/news/politics//news/elections/assembly-elections/telangana-assembly-elections/telangana-muslim-organisations-back-congress-accuse-brs-of-secretly-colluding-with-bjp/articleshow/105420707.cms,news
39,"View: Rule of 40, for IPO investor looks","The past 20 years have witnessed multiple market cycles, unforeseen downturns, market upheavals, and a significant transformation in the IPO landscape. What has consistently proven to be an enduring principle is that businesses designed to consistently achieve robust growth rates with sound unit economics and/or paths to profitability emerge as winners.",https://economictimes.indiatimes.com/news/politics//opinion/et-commentary/view-rule-of-40-for-ipo-investor-looks/articleshow/105394681.cms,opinion
40,Pakistan applies for BRICS membership; seeks Russia's support,Pakistan's application to join the BRICS came as the grouping of emerging economies was set for its biggest expansion with six new members under Russia's rotating Presidency in 2024.,https://economictimes.indiatimes.com/news/politics//news/international/world-news/pakistan-applies-for-brics-membership-seeks-russias-support/articleshow/105422853.cms,news
41,OpenAI president Greg Brockman quits hours after CEO Sam Altman's removal,"Greg Brockman, who helped found OpenAI alongside Altman, said in a post on X that he was quitting. The company had said earlier in the day that he would step down as chair of the board but remain as president, reporting to the CEO.​​",https://economictimes.indiatimes.com/news/politics//tech/technology/openai-president-greg-brockman-quits-hours-after-ceo-sam-altmans-removal/articleshow/105303776.cms,tech
42,Top credit cards with best cashback deals,Top credit cards: ET Wealth Online lists credit cards from the top banks in India offering the best cashback deals.,https://economictimes.indiatimes.com/news/politics//wealth/spend/top-credit-cards-with-best-cashback-deals/articleshow/105374853.cms,wealth
44,"Who is army reservist Robert Card, responsible for killing 22 in Lewiston mass shooting?","The main suspect in the Lewiston mass shooting case has been identified as Robert Card, a 40-year-old Army Reservist. He has battled with mental health issues, including hearing voices and violent threats. Admitted to a mental health facility during the summer, his motives for the recent mass shootings remain a mystery. As authorities search for him and questions on mental health support and gun access arise, Lewiston's heartbreaking story sheds light on the complexities of this individual's life.",https://economictimes.indiatimes.com/news/politics//news/international/world-news/who-is-army-reservist-robert-card-responsible-for-killing-22-in-lewiston-mass-shooting/articleshow/104716525.cms,news
45,How can quick commerce trend benefit FMCG and other sectors? Sachin Dixit explains,"“Initially, thinking of quick commerce, most people were banking on grocery as the primary category. Now a lot of companies are releasing  items during the festive season. A lot of gold and silver coins, Ganpati idols were sold on these platforms. Going forward, growth will be driven by consumers getting added and the number of monthly and annual transacting users going up.”",https://economictimes.indiatimes.com/news/politics//markets/expert-view/how-can-quick-commerce-trend-benefit-fmcg-and-other-sectors-sachin-dixit-explains/articleshow/105413084.cms,markets
46,Buying gold this Diwali? 5 tips you should consider before investing,"Buying gold during festivities around Diwali is almost an unavoidable ritual for a good number of Indian. However, this involves a serious investment and can have a considerable impact on your wealth building process. Gold investment comes in different forms like bullion, jewellery, digital gold, gold ETF, gold fund, SGB, which have their own nuances. Here are 5 tips which you should consider before investing in gold this Diwali.",https://economictimes.indiatimes.com/news/politics//wealth/invest/buying-gold-this-diwali-5-tips-you-should-consider-before-investing/articleshow/105117300.cms,wealth
47,India eyes moving e-commerce cargo through Ganga river,"India is establishing a route on the Ganga river for transporting e-commerce cargo through National Waterway 1. A partnership between the Inland Waterways Authority of India (IWAI) and Amazon Seller Services aims to leverage water transport's efficiency, sustainability, and economic benefits. The initiative seeks to optimize logistics, reduce environmental impact, and promote economic development.",https://economictimes.indiatimes.com/news/politics//news/india/india-eyes-moving-e-commerce-cargo-through-ganga-river/articleshow/105418498.cms,news
48,"Cryptocurrency prices surge, driven by a potential bitcoin fund","Crypto investors are growing optimistic that the Securities and Exchange Commission will approve an exchange traded fund, or ETF, that tracks the price of bitcoin, analysts said. The fund would trade on traditional stock exchanges and offer an easy way for people to invest in cryptocurrencies, potentially bringing a wave of money into the industry.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/cryptocurrency-prices-surge-driven-by-a-potential-bitcoin-fund/articleshow/105277757.cms,markets
49,"Samsung, Apple mobile phones help boost electronic goods exports: DGFT","Sarangi said that sectors like electronics, value-added agri products, renewable energy items like wind and solar panels and modules, and electric vehicles would help in taking the country's goods and services exports to $2 trillion by 2030.",https://economictimes.indiatimes.com/news/politics//industry/cons-products/electronics/samsung-apple-mobile-phones-help-boost-electronic-goods-exports-dgft/articleshow/105422691.cms,industry
51,"US thwarts assassination attempt on Sikh separatist Pannun, warns India for alleged link to attack: Report","U.S. authorities have thwarted a plot to kill a Sikh separatist in the United States and warned India over concerns the Modi government was involved. The target of the plot was Gurpatwant Singh Pannun, an American and Canadian citizen who is general counsel for Sikhs for Justice.",https://economictimes.indiatimes.com/news/politics//news/india/us-thwarts-assassination-attempt-on-sikh-separatist-pannun-warns-off-india-for-alleged-link-to-attack-report/articleshow/105416087.cms,news
52,‘Xiaomi India saw 200% growth in 5G smartphones in festive season’,"“All things coming together, our 5G sales this Diwali as compared to last Diwali grew by 200%, spurred by the rapid 5G rollout by Bharti Airtel and Reliance Jio, and the fact that streaming cricket world cup matches was such as natural use case for 5G,” said company official Muralikrishnan B, adding that the demand was not just a metro phenomenon.",https://economictimes.indiatimes.com/news/politics//industry/cons-products/electronics/xiaomi-india-saw-200-growth-in-5g-smartphones-in-festive-season/articleshow/105419572.cms,industry
54,"China is expanding its crackdown on mosques to regions outside Xinjiang, Human Rights Watch says","Authorities have closed mosques in the northern Ningxia region as well as Gansu province, which are home to large populations of Hui Muslims, as part of a process known officially as ""consolidation,"" according to the report, which draws on public documents, satellite images and witness testimonies.",https://economictimes.indiatimes.com/news/politics//news/international/world-news/china-is-expanding-its-crackdown-on-mosques-to-regions-outside-xinjiang-human-rights-watch-says/articleshow/105418588.cms,news
55,$6-billion influx! Flows to Indian bonds set for highest in 6 years ahead of global index inclusion,"Inflows to fixed income, including corporate debt, have reached nearly $6 bn thus far in 2023, with this month alone accounting for about a quarter of the flows, according to data compiled by Bloomberg.",https://economictimes.indiatimes.com/news/politics//markets/bonds/6-billion-influx-flows-to-indian-bonds-set-for-highest-in-6-years-ahead-of-global-index-inclusion/articleshow/105408025.cms,markets
56,Uttarkashi collapse: What is the Silkyara tunnel for?,"The estimated construction period was four years, with cost estimated at Rs 1,119.69 crore. Total project cost is Rs 1,383.78 crore, including land acquisition and rehabilitation cost. The work is delayed and is likely to be completed by May 14, 2024.",https://economictimes.indiatimes.com/news/politics//news/india/uttarkashi-collapse-what-is-the-silkyara-tunnel-for/articleshow/105406612.cms,news
57,Pakistan's top court accepts Imran Khan's plea for bail,"The former cricket star is fighting various legal battles in the hope of securing release from jail and leading his party in a campaign for a Feb. 8 general election, which his arch rival, another former prime minister, is hoping to win.",https://economictimes.indiatimes.com/news/politics//news/international/world-news/pakistans-top-court-accepts-imran-khans-plea-for-bail/articleshow/105411576.cms,news
58,"I-T department finds Rs 10,000 crore tax evasion by online sellers on Instagram, Facebook","“Apart from the large ecommerce companies, we are closely monitoring the shops on Instagram and Facebook and have detected evasion to the tune of about Rs 10,000 crore,” a senior official told ET.",https://economictimes.indiatimes.com/news/politics//tech/technology/social-media-sellers-get-dislikes-from-i-t-department/articleshow/105394799.cms,tech
59,"India's appetite for Russian oil reduces, share slips to lowest in 9 months as OPEC gains","India's oil imports reached a 10-month high in October due to OPEC's share, as refiners bought more crude from Saudi Arabia and the UAE. However, Russia's share of the Indian market fell to the lowest in nine months. India, the world's third-biggest oil importer and consumer, typically relies on Middle Eastern producers, and has encouraged refiners to diversify to cheaper alternatives.",https://economictimes.indiatimes.com/news/politics//industry/energy/oil-gas/indias-appetite-for-russian-oil-reduces-share-slips-to-lowest-in-9-months-as-opec-gains/articleshow/105418362.cms,industry
60,Instacart set to raise IPO target price after Arm's successful debut,"Instacart is now expected to sell shares for $28 to $30 apiece, the Journal said, adding that the company plans to disclose the target price in an amended filing as early as Friday.",https://economictimes.indiatimes.com/news/politics//tech/technology/instacart-set-to-raise-ipo-target-price-after-arms-successful-debut/articleshow/103682430.cms,tech
61,'Skills-first' transformation helps firms boost revenue: Report,"According to the report, more than 50% of the enterprises which participated in the global survey are undergoing “skills-first transformation” (SFT) and clocking two times growth in revenue compared with their peers. The report was released on Tuesday.",https://economictimes.indiatimes.com/news/politics//jobs/hr-policies-trends/skills-first-transformation-helps-firms-boost-revenue-report/articleshow/105379394.cms,jobs
62,The frantic effort behind the Hamas-Israel truce deal,"In a detailed account to reporters by a senior US official speaking on condition of anonymity, a picture has emerged of a tense international effort beset by sudden communication cutoffs with Hamas, disputes over hostage lists, and safety concerns on the ground.",https://economictimes.indiatimes.com/news/politics//news/defence/the-frantic-effort-behind-the-hamas-israel-truce-deal/articleshow/105410888.cms,news
63,"Damage to EV battery, charging station while charging: Insurer launches insurance covers for this","Zuno General Insurance (formerly Edelweiss General Insurance) has launched three new add-on insurance policies which would cover electric vehicle battery, private charging station, charging cable and standard accessories. Zuno claims that these add-on policies are an industry first offering and is aimed to cover a grey area in the insurance industry.",https://economictimes.indiatimes.com/news/politics//wealth/personal-finance-news/damage-to-ev-battery-charging-station-while-charging-insurer-launches-insurance-covers-for-this/articleshow/105420463.cms,wealth
65,Why does banking continue to underperform despite consensus in its favour?,"“Whenever there is consensus on something, it is always one of the most dangerous sectors to go into. It is marked by over ownership. We like under ownership whenever there is consensus buy, this over ownership we are very sceptical about. But there are two-three things which are going for the bank sector. We have to remember that last year was a great year for the banking sector.”",https://economictimes.indiatimes.com/news/politics//markets/expert-view/why-does-banking-continue-to-underperform-despite-consensus-in-its-favour/articleshow/105414703.cms,markets
66,Israeli Cabinet approves cease-fire with Hamas that includes release of some 50 hostages,"Ahead of Wednesday morning’s Cabinet vote, Prime Minister Benjamin Netanyahu said Israel would resume its offensive against Hamas after the cease-fire expires. It was not immediately clear when the truce would go into effect. The government said the first hostages to be released would be women and children. Israel and Hamas on Wednesday appeared close to a deal that would temporarily halt their devastating six-week war and release dozens of hostages being held in the Gaza Strip in exchange for Palestinians in Israeli prisons.",https://economictimes.indiatimes.com/news/politics//news/international/world-news/israeli-cabinet-approves-cease-fire-with-hamas-that-includes-release-of-some-50-hostages/articleshow/105399168.cms,news
67,Delhi pollution: Why drastic GRAP IV rules still hang fire even as citizens choke,"Like every year in the recent past, Delhi is choking this year too as a deadly haze and accompanying noxious fumes spread their ghastly  wings over the entire capital urbanscape and its inhabitants. But the city authorities are still not going full throttle in their war against pollution and holding some of their firepower back.",https://economictimes.indiatimes.com/news/politics//news/new-updates/delhi-pollution-why-drastic-grap-iv-rules-still-hang-fire-even-as-citizens-choke/articleshow/104959800.cms,news
69,Canada tells its citizens in India to 'exercise high degree of caution' in major cities,"Canada has issued an updated travel advisory for its citizens in India, urging them to exercise caution due to the threat of terrorist attacks throughout the country. The advisory also warns of potential protests and negative sentiment towards Canada in traditional and social media. Parts of Northeastern India, the Union Territory of Jammu and Kashmir, and border areas with Pakistan are advised to be avoided.",https://economictimes.indiatimes.com/news/politics//news/international/canada/canada-tells-its-citizens-in-india-to-exercise-high-degree-of-caution-in-major-cities-avoid-travel-to-northeast-jk/articleshow/104576028.cms,news
70,'Ready for death penalty if...': Baba Ramdev defends Patanjali after SC cautions firm over misleading ads,"Addressing a press conference, Ramdev refuted the reports circulating on various media platforms about the Supreme Court reprimanding Patanjali. Ramdev went on to allege that a group of doctors is spreading false propaganda against him and his company, particularly targeting yoga and Ayurveda.",https://economictimes.indiatimes.com/news/politics//news/india/ready-for-death-penalty-if-baba-ramdev-defends-patanjali-after-supreme-court-cautions-firm-over-misleading-ads/articleshow/105415085.cms,news
71,Companies implementing ‘skills first’ approach see better retention and revenue growth: Survey,"The early adopters have been leveraging skill assessments, skills taxonomy and skills inventory to help employees. These companies have redoubled efforts to find “power-user” talent and “deep skills”. The other companies are still getting started on this journey.",https://economictimes.indiatimes.com/news/politics//jobs/hr-policies-trends/companies-implementing-skills-first-approach-see-better-retention-and-revenue-growth-survey/articleshow/105413291.cms,jobs
73,Rajasthan polls: 10 key seats that will determine the royal state's political future,"As the 2024 Lok Sabha elections loom, the spotlight shifts to the crucial prelude of upcoming assembly elections in Rajasthan. Congress faces challenges with concerns over women's safety and paper leaks during the Ashok Gehlot regime. The BJP, sans a Chief Minister face, navigates the sidelining of Vasundhara Raje, formulating strategies to regain voter trust.",https://economictimes.indiatimes.com/news/politics//news/elections/assembly-elections/rajasthan-assembly-elections/rajasthan-polls-10-key-seats-that-will-determine-the-royal-states-political-future/articleshow/105405283.cms,news
74,What leaders need to address in the AI-driven future of work,"As many as 74% of the executives on the LinkedIn Executive Confidence Index say generative AI will benefit their employees. As more AI-assisted technologies become available, the executives say these tools can help their organisations to optimise operations, sales, customer service and marketing. Meanwhile, 47% of the professionals across the world state that AI will help them advance their careers by enabling faster access.",https://economictimes.indiatimes.com/news/politics//jobs/c-suite/what-leaders-need-to-address-in-the-ai-driven-future-of-work/articleshow/105412939.cms,jobs
75,Crypto exchange Bullish buys news website CoinDesk,"Financial terms of the deal, which was first reported by the Wall Street Journal, weren't disclosed.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/crypto-exchange-bullish-buys-news-website-coindesk/articleshow/105371236.cms,markets
78,Companies with hybrid workforce focus on staff engagement initiatives,"Company executives ET spoke with said the “disconnect” is not only impacting collaboration and productivity, but also leading to lack of bonding. The employee engagement initiatives are seen benefiting all, especially the younger workers who had taken up their first job around the time people were asked to work remotely due to the pandemic, they said.",https://economictimes.indiatimes.com/news/politics//jobs/hr-policies-trends/companies-with-hybrid-workforce-focus-on-staff-engagement-initiatives/articleshow/105416428.cms,jobs
79,"Sahara-Sebi refund: Rs 25,000 crore of Sahara depositors stuck; What is the Consolidated Fund of India","The transfer of unclaimed cash from the Sahara-Sebi Refund Account to the Consolidated Fund of India is being investigated by the government, with the intention of compensating investors who later file claims.",https://economictimes.indiatimes.com/news/politics//wealth/save/sahara-sebi-refund-rs-25000-crore-of-sahara-depositors-stuck-what-is-the-consolidated-fund-of-india/articleshow/105380513.cms,wealth
